  @queenbee	NIL647
Doncaster	http://dbpedia.org/resource/Doncaster
Done_can	NIL105
Donnie Yen	http://dbpedia.org/resource/Donnie_Yen
Donovan McNabb	http://dbpedia.org/resource/Donovan_McNabb
Dons	http://dbpedia.org/resource/Milton_Keynes_Dons_F.C.
Donsarigo	NIL303
Doojoon	http://dbpedia.org/resource/Yoon_Doo-joon
Dorchester	http://dbpedia.org/resource/Dorchester,_Boston
Dortmund	http://dbpedia.org/resource/Borussia_Dortmund
Dortmund	http://dbpedia.org/resource/Dortmund
Dougie	http://dbpedia.org/resource/Dougie
Dovizioso	http://dbpedia.org/resource/Andrea_Dovizioso
Dow	http://dbpedia.org/resource/Dow_Jones_&_Company
Dow	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
Dow Jones	http://dbpedia.org/resource/Dow_Jones_&_Company
Dow Jones	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
Dow Jones index	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
Downes	NIL107
Downing	http://dbpedia.org/resource/Stewart_Downing
Dr. Mauricio Lynn	NIL108
DrKellyWelch	NIL307
DrPhil	http://dbpedia.org/resource/Dr._Phil_(TV_series)
Drake	http://dbpedia.org/resource/Drake_(rapper)
Dream Team	http://dbpedia.org/resource/Dream_Team
Dreier	http://dbpedia.org/resource/David_Dreier
Drew Rosenhaus	http://dbpedia.org/resource/Drew_Rosenhaus
Drogba	http://dbpedia.org/resource/Didier_Drogba
Droid 3	http://dbpedia.org/resource/Droid_3
Dryzie_Official	NIL308
Dublin	http://dbpedia.org/resource/Dublin
Dublin Super Cup	http://dbpedia.org/resource/2011_Dublin_Super_Cup
Duce pound	http://dbpedia.org/resource/Maybach_Music_Group
Dudley	http://dbpedia.org/resource/Dudley
Duggan	NIL110
Duggan shooting	http://dbpedia.org/resource/Death_of_Mark_Duggan
Duke	http://dbpedia.org/resource/Duke_Nukem_Forever
Dunn	http://dbpedia.org/resource/Adam_Dunn
Dustbowlrefugee	NIL117
Dusty Springfield	http://dbpedia.org/resource/Dusty_Springfield
Dutch	http://dbpedia.org/resource/Dutch_people
Dutch Lion	http://dbpedia.org/resource/Dayton_Dutch_Lions
Dwayne Wade	http://dbpedia.org/resource/Dwyane_Wade
DynastyofRex	NIL111
E 63 AMG	NIL280
E.A. Poe	http://dbpedia.org/resource/Edgar_Allan_Poe
EA	http://dbpedia.org/resource/Electronic_Arts
EAST MEDITERRANEAN	http://dbpedia.org/resource/Eastern_Mediterranean
EB 57th	NIL34
ECB	http://dbpedia.org/resource/European_Central_Bank
ED	http://dbpedia.org/resource/Enforcement_Directorate
EDL	http://dbpedia.org/resource/English_Defence_League
EFC	http://dbpedia.org/resource/Everton_F.C.
ENGLAND	http://dbpedia.org/resource/England_national_football_team
ENOC	http://dbpedia.org/resource/Emirates_National_Oil_Company
EPA	http://dbpedia.org/resource/United_States_Environmental_Protection_Agency
EPL	http://dbpedia.org/resource/Premier_League
EQT Corp	http://dbpedia.org/resource/EQT
ESA_Rosetta	NIL281
ESA_Rosetta	NIL84
ESPN	http://dbpedia.org/resource/ESPN
ESPNNFL	NIL875
ESPNSoccernet	http://dbpedia.org/resource/ESPN_FC
ESPNcricinfo	http://dbpedia.org/resource/ESPNcricinfo
ESSEX	http://dbpedia.org/resource/Essex
EU	http://dbpedia.org/resource/European_Union
EW	NIL281
EWErickson	http://dbpedia.org/resource/Erick_Erickson
Eagle	http://dbpedia.org/resource/Eagle
Eagles	http://dbpedia.org/resource/Philadelphia_Eagles
Ealing	http://dbpedia.org/resource/Ealing
Earlsfield	http://dbpedia.org/resource/Earlsfield
Earth	http://dbpedia.org/resource/Earth
East Ham	http://dbpedia.org/resource/East_Ham
East Mound Street	NIL33
East Texas	http://dbpedia.org/resource/East_Texas
East dulwich	http://dbpedia.org/resource/East_Dulwich
Ebola	http://dbpedia.org/resource/Ebola_virus_disease
Ebute-metta	http://dbpedia.org/resource/Ebute_Metta
Ed Snider	http://dbpedia.org/resource/Ed_Snider
Edgar L. Smith	NIL112
Edinburgh	http://dbpedia.org/resource/Edinburgh
Edmonton	http://dbpedia.org/resource/Edmonton,_London
Edo	NIL35
Edwina	NIL309
Egypt	http://dbpedia.org/resource/Egypt
Egyptian	http://dbpedia.org/resource/Egyptians
Egyptians	http://dbpedia.org/resource/Egyptians
Eisthename	NIL113
El Bulli	http://dbpedia.org/resource/ElBulli
El_Est98	NIL118
ElijahMiano	NIL311
EliotShorrParks	NIL312
Elizabeth Cann	NIL114
Elliiekirk_	NIL119
Ellison	http://dbpedia.org/resource/Keith_Ellison
Eltham	http://dbpedia.org/resource/Eltham
EmWatson	http://dbpedia.org/resource/Emma_Watson
Emerald Graves	NIL82
Emily	http://dbpedia.org/resource/Tropical_Storm_Emily_(2011)
Eminem	http://dbpedia.org/resource/Eminem
Emirates	http://dbpedia.org/resource/Emirates_Stadium
Emma	NIL316
EmmaJonesGB	NIL316
Emsworth	http://dbpedia.org/resource/Emsworth
Enchanted	http://dbpedia.org/resource/Enchanted_(film)
Endomondo	http://dbpedia.org/resource/Endomondo
Enfield	http://dbpedia.org/resource/Enfield_Town
Enfield	http://dbpedia.org/resource/London_Borough_of_Enfield
Enforcement Directorate	http://dbpedia.org/resource/Enforcement_Directorate
Engel	NIL317
England	http://dbpedia.org/resource/England
England	http://dbpedia.org/resource/England_cricket_team
English	NIL83
English	http://dbpedia.org/resource/England
English	http://dbpedia.org/resource/English_language
Enrique	http://dbpedia.org/resource/José_Enrique_(footballer)
Eph	http://dbpedia.org/resource/Epistle_to_the_Ephesians
Epictetus	http://dbpedia.org/resource/Epictetus
Erdogan	http://dbpedia.org/resource/Recep_Tayyip_Erdoğan
Eric	NIL121
Eric Bledsoe	http://dbpedia.org/resource/Eric_Bledsoe
Eric Cantor	http://dbpedia.org/resource/Eric_Cantor
Ericccxminaj	NIL318
Erik	NIL117
Erik  Bedard	http://dbpedia.org/resource/Érik_Bédard
Erik Spoelstra	http://dbpedia.org/resource/Erik_Spoelstra
Essence	http://dbpedia.org/resource/Essence_(magazine)
Essex	http://dbpedia.org/resource/Essex
EssexPoliceUK	http://dbpedia.org/resource/Essex_Police
Estelle_Sarah	NIL319
EstiloModaUK	NIL876
Etihad	http://dbpedia.org/resource/City_of_Manchester_Stadium
Etihad Stadium	http://dbpedia.org/resource/City_of_Manchester_Stadium
Etna Drive area	NIL17
Eton	http://dbpedia.org/resource/Eton_College
Eubanks	http://dbpedia.org/resource/Bob_Eubanks
Europa League	http://dbpedia.org/resource/UEFA_Europa_League
Europe	http://dbpedia.org/resource/Europe
European	http://dbpedia.org/resource/Citizenship_of_the_European_Union
European Central Bank	http://dbpedia.org/resource/European_Central_Bank
European Parliament	http://dbpedia.org/resource/European_Parliament
European Poker Tour	http://dbpedia.org/resource/European_Poker_Tour
European Union	http://dbpedia.org/resource/European_Union
Eurozone	http://dbpedia.org/resource/Eurozone
Euston	http://dbpedia.org/resource/Euston_railway_station
Everardo Herrera	NIL118
Evil Twin Brewing	http://dbpedia.org/resource/Evil_Twin_Brewing
Exec Committee	http://dbpedia.org/resource/Committee
Exeter	http://dbpedia.org/resource/Exeter
ExpressLife	NIL282
Exxon	http://dbpedia.org/resource/ExxonMobil
Exxon Mobil	http://dbpedia.org/resource/ExxonMobil
F-22	http://dbpedia.org/resource/Lockheed_Martin_F-22_Raptor
F1	http://dbpedia.org/resource/Formula_One
FA	http://dbpedia.org/resource/The_Football_Association
FA Cup	http://dbpedia.org/resource/FA_Cup
FA cup	http://dbpedia.org/resource/FA_Cup
FAA	http://dbpedia.org/resource/Federal_Aviation_Administration
FB	http://dbpedia.org/resource/Facebook
FBI	http://dbpedia.org/resource/Federal_Bureau_of_Investigation
FCB	http://dbpedia.org/resource/FC_Barcelona
FCC	http://dbpedia.org/resource/Federal_Communications_Commission
FCUM	http://dbpedia.org/resource/F.C._United_of_Manchester
FDA	http://dbpedia.org/resource/Food_and_Drug_Administration
FDLR	http://dbpedia.org/resource/Democratic_Forces_for_the_Liberation_of_Rwanda
FDR	http://dbpedia.org/resource/Franklin_D._Roosevelt
FF7	http://dbpedia.org/resource/Final_Fantasy_VII
FFC	http://dbpedia.org/resource/Fulham_F.C.
FIFA Women's world cup	NIL10009
FLS	http://dbpedia.org/resource/Linnean_Society_of_London
FOX	http://dbpedia.org/resource/Fox_Broadcasting_Company
FOX5Atlanta	http://dbpedia.org/resource/WAGA-TV
FOXSoccer	http://dbpedia.org/resource/Fox_Soccer
FSA	NIL85
FXCM	http://dbpedia.org/resource/FXCM
FY2012	http://dbpedia.org/resource/2012_United_States_federal_budget
FabioArico	NIL322
Fabregas	http://dbpedia.org/resource/Cesc_Fàbregas
Face book	http://dbpedia.org/resource/Facebook
FaceBook	http://dbpedia.org/resource/Facebook
Facebook	http://dbpedia.org/resource/Facebook
Facebook.	http://dbpedia.org/resource/Facebook
FacesAndCurves_	NIL878
Fact	NIL879
Factsionary	NIL880
FahmidaMiller	NIL323
Fair Park	http://dbpedia.org/resource/Fair_Park
Falcon HTV-2	http://dbpedia.org/resource/Hypersonic_Technology_Vehicle_2
Faleomavaega	http://dbpedia.org/resource/Eni_Faleomavaega
Fallowfield	http://dbpedia.org/resource/Fallowfield
Falmouth	http://dbpedia.org/resource/Falmouth,_Cornwall
Falmouth	http://dbpedia.org/resource/Falmouth_Commodores
Family Guy	http://dbpedia.org/resource/Family_Guy
Fan Appreciation Party	NIL32
Fannie Mae	http://dbpedia.org/resource/Fannie_Mae
Farage	http://dbpedia.org/resource/Nigel_Farage
FarmersBranch	http://dbpedia.org/resource/Farmers_Branch,_Texas
Federal Aviation Administration	http://dbpedia.org/resource/Federal_Aviation_Administration
Fellaini	http://dbpedia.org/resource/Marouane_Fellaini
FemaIefit	NIL882
FemiPhoenix	NIL326
Fenelon Falls	http://dbpedia.org/resource/Fenelon_Falls
Fenland	http://dbpedia.org/resource/Fenland
Fenny	http://dbpedia.org/resource/Fenny_Stratford
Ferb	http://dbpedia.org/resource/Ferb_Fletcher
Ferguson	http://dbpedia.org/resource/Alex_Ferguson
Ferguson	http://dbpedia.org/resource/Ferguson,_Missouri
Ferguson Rd.	NIL36
Fernando Torres	http://dbpedia.org/resource/Fernando_Torres
Ferran	http://dbpedia.org/resource/Ferran_Adrià
Ferrari	NIL831
Ferrari	http://dbpedia.org/resource/Ferrari
Ferrari F2012	http://dbpedia.org/resource/Ferrari_F2012
Ferrero rocher	http://dbpedia.org/resource/Ferrero_Rocher
Ferris Goodridge	NIL120
Feystown Rd	NIL37
FieldyCX	NIL122
FieldyCX	NIL883
Fifa 15	NIL913
Fijian	http://dbpedia.org/resource/Fijian_people
Film4	http://dbpedia.org/resource/Film4
FinallyFamous	http://dbpedia.org/resource/Finally_Famous_(Big_Sean_album)
Finland	http://dbpedia.org/resource/Finland
Finn	http://dbpedia.org/resource/Steven_Finn_(cricketer)
Finnish	http://dbpedia.org/resource/Finns
Fiorano	http://dbpedia.org/resource/Fiorano_Circuit
First Annual Geek Awards	NIL10
Flaming C	http://dbpedia.org/resource/List_of_Conan_sketches
Flemish	http://dbpedia.org/resource/Flemish_people
FlemishGooners	NIL328
Fleur	http://dbpedia.org/resource/Louise_Erdrich
FleurDeForce	NIL329
Florida	http://dbpedia.org/resource/Florida
Florida	http://dbpedia.org/resource/List_of_people_from_Florida
Floyd	http://dbpedia.org/resource/Floyd_Patterson
Flyers	http://dbpedia.org/resource/Philadelphia_Flyers
Fodor's	NIL33
FonkyChris	NIL330
Football	http://dbpedia.org/resource/Association_football
Football	http://dbpedia.org/resource/Football
FootballManager	http://dbpedia.org/resource/Football_Manager
FootballVines	NIL887
FootworkMK	NIL888
Footy	NIL282
FootyAccums	NIL889
FootyHumour	NIL43
ForRespect	NIL890
Force India	http://dbpedia.org/resource/Force_India
Ford	http://dbpedia.org/resource/Ford_Motor_Company
Ford GT	http://dbpedia.org/resource/Ford_GT
Foreign Relations Committee	http://dbpedia.org/resource/United_States_Senate_Committee_on_Foreign_Relations
Forex	http://dbpedia.org/resource/Foreign_exchange_market
Forlan	http://dbpedia.org/resource/Diego_Forlán
Formula 1	http://dbpedia.org/resource/Formula_One
Formula1	http://dbpedia.org/resource/Formula_One
Formula1chick	NIL332
Fort Worth	http://dbpedia.org/resource/Fort_Worth,_Texas
Foster Wheeler	http://dbpedia.org/resource/Foster_Wheeler
Fox	http://dbpedia.org/resource/Fox_Broadcasting_Company
Fox News	http://dbpedia.org/resource/Fox_News_Channel
FoxNews	http://dbpedia.org/resource/Fox_News_Channel
Foxconn	http://dbpedia.org/resource/Foxconn
France	http://dbpedia.org/resource/France
FrankieTheSats	http://dbpedia.org/resource/Frankie_Sandford
Franklin D. Roosevelt	http://dbpedia.org/resource/Franklin_D._Roosevelt
FranklinLakes	http://dbpedia.org/resource/Franklin_Lakes,_New_Jersey
Fred Weasley	NIL2
Freddie	NIL2
FreddieMccann	NIL335
FreddyAmazin	NIL336
French	http://dbpedia.org/resource/French_people
Friends	http://dbpedia.org/resource/Friends
Frozen	http://dbpedia.org/resource/Frozen_(2013_film)
FrugalGaming	NIL891
FruitOfNoah	NIL124
FruitOfNoah	NIL337
Fulham	http://dbpedia.org/resource/Fulham_F.C.
FunnyyVine	NIL892
Furcal	http://dbpedia.org/resource/Rafael_Furcal
G+	http://dbpedia.org/resource/Google+
GAA	http://dbpedia.org/resource/Gaelic_Athletic_Association
GB	http://dbpedia.org/resource/Great_Britain
GCHQ	http://dbpedia.org/resource/Government_Communications_Headquarters
GEORGIE_35	NIL351
GFBIVO90	NIL125
GIANTS	http://dbpedia.org/resource/New_York_Giants
GM	http://dbpedia.org/resource/General_Motors
GMAT	http://dbpedia.org/resource/Graduate_Management_Admission_Test
GMP	http://dbpedia.org/resource/Greater_Manchester_Police
GMPolice	http://dbpedia.org/resource/Greater_Manchester_Police
GOP	http://dbpedia.org/resource/Republican_Party_(United_States)
GOPLeader	http://dbpedia.org/resource/Kevin_McCarthy_(California_politician)
GPA	http://dbpedia.org/resource/Grading_(education)
GPMooreEsq	NIL901
GREEN LANTERN	http://dbpedia.org/resource/Green_Lantern_(film)
GTA	http://dbpedia.org/resource/Grand_Theft_Auto_(series)
GTA	http://dbpedia.org/resource/Grand_Theft_Auto_(video_game)
GTA 5	http://dbpedia.org/resource/Grand_Theft_Auto_V
GTAV	http://dbpedia.org/resource/Grand_Theft_Auto_V
GaabiUbhi	NIL125
Gabby_Durrin	NIL338
Gabrielle Giffords	http://dbpedia.org/resource/Gabrielle_Giffords
Gadhafi's Son	http://dbpedia.org/resource/Saif_al-Arab_Gaddafi
GaffneyVLC	NIL339
Galileo	http://dbpedia.org/resource/Galileo_Galilei
Gallery	http://dbpedia.org/resource/Robert_Gallery
Gallup	http://dbpedia.org/resource/Gallup_(company)
Galway	http://dbpedia.org/resource/Galway
Galway Arts Festival 2011	NIL11
Gamal	http://dbpedia.org/resource/Gamal_Mubarak
Game of Thrones	http://dbpedia.org/resource/Game_of_Thrones
Gang of Six	http://dbpedia.org/resource/Gang_of_Six
Gareth Bale	http://dbpedia.org/resource/Gareth_Bale
Gareth Francis	NIL340
Gary	NIL123
Gary Barlow	http://dbpedia.org/resource/Gary_Barlow
GaryBarlow	http://dbpedia.org/resource/Gary_Barlow
GaryLineker	http://dbpedia.org/resource/Gary_Lineker
Gatz77	NIL127
Gatz77	NIL344
Gaudinot	http://dbpedia.org/resource/Louis_Gaudinot
Gawker	http://dbpedia.org/resource/Gawker
Gay Byrne	http://dbpedia.org/resource/Gay_Byrne
Gaz	NIL345
Gazwthegooner	NIL346
Gazza	NIL347
Geico	http://dbpedia.org/resource/GEICO
Gemini	http://dbpedia.org/resource/Gemini_(astrology)
Geminis	http://dbpedia.org/resource/Gemini_(astrology)
Gemma Collins	http://dbpedia.org/resource/Gemma_Collins
George Eads	http://dbpedia.org/resource/George_Eads
George Osborne	http://dbpedia.org/resource/George_Osborne
George Zimmerman	http://dbpedia.org/resource/George_Zimmerman
GeorgeFaulkner	NIL130
Georgia	http://dbpedia.org/resource/Georgia_(U.S._state)
Georgia	http://dbpedia.org/resource/Georgia_(country)
Georgia	http://dbpedia.org/resource/Georgia_national_football_team
GeorgieBC	http://dbpedia.org/resource/Heather_Marsh
Gerard Way	http://dbpedia.org/resource/Gerard_Way
Gerber Baby	http://dbpedia.org/resource/Gerber_Baby
German	http://dbpedia.org/resource/Germans
German Grand Prix	http://dbpedia.org/resource/2011_German_Grand_Prix
Germans	http://dbpedia.org/resource/Germans
Germany	http://dbpedia.org/resource/Germany
Gerrard	http://dbpedia.org/resource/Steven_Gerrard
Gervinho	http://dbpedia.org/resource/Gervinho
Gerviniho	http://dbpedia.org/resource/Gervinho
GetGlue	http://dbpedia.org/resource/Tvtag
Ghanam town	http://dbpedia.org/resource/Bir_al-Ghanam
GiantShimano	http://dbpedia.org/resource/Giant-Shimano
GiantUK	NIL896
Giants	http://dbpedia.org/resource/New_York_Giants
Giffard Park	http://dbpedia.org/resource/Great_Linford
Giffords	http://dbpedia.org/resource/Gabrielle_Giffords
Giggs	http://dbpedia.org/resource/Ryan_Giggs
Gilenya	http://dbpedia.org/resource/Fingolimod
Gillispie	http://dbpedia.org/resource/Billy_Gillispie
Gilly	NIL38
Ginter	http://dbpedia.org/resource/Matthias_Ginter
Giraffe	http://dbpedia.org/resource/Giraffe_Restaurants
GirlDictionary	NIL126
Giroud	http://dbpedia.org/resource/Olivier_Giroud
Gitchee, Gitchee, Goo	http://dbpedia.org/resource/Flop_Starz
Glasgow	http://dbpedia.org/resource/Glasgow
Glasgow School of Art	http://dbpedia.org/resource/Glasgow_School_of_Art
GlasgowCC	http://dbpedia.org/resource/Glasgow_City_Council
Glee	http://dbpedia.org/resource/Glee_(TV_series)
Glee 3D	http://dbpedia.org/resource/Glee:_The_3D_Concert_Movie
Glen Helen Parkway	NIL39
Glen Helen Rd	NIL40
Glenarm	http://dbpedia.org/resource/Glenarm
Glendale	http://dbpedia.org/resource/Glendale,_California
GlennSpeller	NIL353
GlobalGrind	NIL897
GlobeandMail	http://dbpedia.org/resource/The_Globe_and_Mail
Gloucester	http://dbpedia.org/resource/Gloucester
Glyn_Hughes	NIL132
Gmail	http://dbpedia.org/resource/Gmail
Go Compare	http://dbpedia.org/resource/Gocompare.com
GoAir	http://dbpedia.org/resource/GoAir
GoAztecs	http://dbpedia.org/resource/San_Diego_State_Aztecs
GoateeJoe	NIL133
Golden Dawn	http://dbpedia.org/resource/Golden_Dawn_(political_party)
Goldman Sachs	http://dbpedia.org/resource/Goldman_Sachs
Golf	http://dbpedia.org/resource/Golf
Goo Hara	http://dbpedia.org/resource/Goo_Ha-ra
Good Weekend	http://dbpedia.org/resource/The_Sydney_Morning_Herald
GoodBeerTweet	NIL283
GoodBeerTweet	NIL898
Goodell	http://dbpedia.org/resource/Roger_Goodell
Goodluck Jonathan	http://dbpedia.org/resource/Goodluck_Jonathan
GoodnightMrTO_m	NIL134
Google	http://dbpedia.org/resource/Google
Google translator	http://dbpedia.org/resource/Google_Translate
Google+	http://dbpedia.org/resource/Google+
GoonSquad	http://dbpedia.org/resource/Goon_squad
Gooner11396	NIL135
Gooner_Rafa	NIL137
Gooner_Rafa	NIL356
Goosebumps books	http://dbpedia.org/resource/List_of_Goosebumps_books
GopherFootball	NIL899
Gor	http://dbpedia.org/resource/Gor_Mahia_F.C.
Gor Mahia	http://dbpedia.org/resource/Gor_Mahia_F.C.
GovChristie	http://dbpedia.org/resource/Chris_Christie
Government	http://dbpedia.org/resource/Government_of_the_United_Kingdom
GovernorPerry	http://dbpedia.org/resource/Rick_Perry
Grace	NIL139
Graeme_McDowell	http://dbpedia.org/resource/Graeme_McDowell
Graham	NIL358
Grand Prix 2014	http://dbpedia.org/resource/2014_Formula_One_season
Grand Theft Auto V	http://dbpedia.org/resource/Grand_Theft_Auto_V
Grand Union	http://dbpedia.org/resource/Grand_Union_Canal
GrandPrixDiary	NIL284
GrandPrixDiary	NIL902
Grange Farm	NIL41
GrangerLewisss	NIL359
Grant Shapps	http://dbpedia.org/resource/Grant_Shapps
Grapevine	http://dbpedia.org/resource/Grapevine,_Texas
Gray	http://dbpedia.org/resource/Vincent_C._Gray
Great Britain	http://dbpedia.org/resource/Great_Britain
Greater Manchester	http://dbpedia.org/resource/Greater_Manchester
Greater Manchester Police	http://dbpedia.org/resource/Greater_Manchester_Police
Greece	http://dbpedia.org/resource/Greece
Greek	http://dbpedia.org/resource/Greeks
Greek debt crisis	http://dbpedia.org/resource/Greek_government-debt_crisis
Green Lantern	http://dbpedia.org/resource/Green_Lantern
GreenPartyWatch	NIL284
GreenlightPT	NIL44
GreenlightPT	NIL903
Greenpeace	http://dbpedia.org/resource/Greenpeace
Greg1954	NIL361
GregEmonds	NIL362
Gremio	http://dbpedia.org/resource/Grêmio_Foot-Ball_Porto_Alegrense
GreyCanon	NIL141
Greyhound Bus	http://dbpedia.org/resource/Greyhound_Lines
Griffin	http://dbpedia.org/resource/Nick_Griffin
Griffin House	NIL86
Grigg	NIL363
GrindTV	NIL904
Ground Force	http://dbpedia.org/resource/Ground_Force
Groupon	http://dbpedia.org/resource/Groupon
Groupon MyCityDeal	http://dbpedia.org/resource/Groupon_MyCityDeal
Guardian	http://dbpedia.org/resource/The_Guardian
Guinness	http://dbpedia.org/resource/Guinness
Gujarat	http://dbpedia.org/resource/Gujarat
Gulf	http://dbpedia.org/resource/Gulf_of_Mexico
Gulf of Mexico	http://dbpedia.org/resource/Gulf_of_Mexico
GumlawU	NIL364
Gvanderwiel	http://dbpedia.org/resource/Gregory_van_der_Wiel
Gwent Police	http://dbpedia.org/resource/Gwent_Police
Gündoğan	http://dbpedia.org/resource/İlkay_Gündoğan
H1N1	http://dbpedia.org/resource/Influenza_A_virus_subtype_H1N1
HAM	http://dbpedia.org/resource/Lewis_Hamilton
HAMILTON	http://dbpedia.org/resource/Lewis_Hamilton
HARRY POTTER	http://dbpedia.org/resource/Harry_Potter_(film_series)
HCAFC	http://dbpedia.org/resource/Hull_City_A.F.C.
HDMIPi	NIL286
HDNER	http://dbpedia.org/resource/Hürriyet_Daily_News
HIV	http://dbpedia.org/resource/HIV
HM	http://dbpedia.org/resource/Hizbul_Mujahideen
HMATomFletcher	http://dbpedia.org/resource/Thomas_Fletcher_(diplomat)
HP	http://dbpedia.org/resource/Harry_Potter
HP	http://dbpedia.org/resource/Harry_Potter_(film_series)
HP	http://dbpedia.org/resource/Hewlett-Packard
HP7.2	http://dbpedia.org/resource/Harry_Potter_and_the_Deathly_Hallows_–_Part_2
HSM	http://dbpedia.org/resource/High_School_Musical
HTML	http://dbpedia.org/resource/HTML
HackGate	http://dbpedia.org/resource/News_International_phone_hacking_scandal
Hackgate	http://dbpedia.org/resource/News_International_phone_hacking_scandal
Hackney	http://dbpedia.org/resource/Hackney_Central
Hackney	http://dbpedia.org/resource/London_Borough_of_Hackney
HackneyGT	NIL685
HadleyFreeman	http://dbpedia.org/resource/Hadley_Freeman
Hagrid	NIL3
Haitham Mohamedain	http://dbpedia.org/resource/Haitham_Mohamedain
Hajduk Split	http://dbpedia.org/resource/HNK_Hajduk_Split
Half-Blood Prince	http://dbpedia.org/resource/Harry_Potter_and_the_Half-Blood_Prince
Hamilton	http://dbpedia.org/resource/Lewis_Hamilton
Han Geng	http://dbpedia.org/resource/Han_Geng
Hancock	http://dbpedia.org/resource/Hancock,_Michigan
Handbags and Gladrags	http://dbpedia.org/resource/Handbags_and_Gladrags
Hannah	NIL285
Hannah	NIL368
HannahEllen23	NIL371
HannahG26	NIL372
Hannibal	http://dbpedia.org/page/Hannibal_(TV_series)
Hans Rosling	http://dbpedia.org/resource/Hans_Rosling
Hardeep	NIL373
Harlow	http://dbpedia.org/resource/Harlow
Harris	http://dbpedia.org/resource/Richard_Harris
Harrison Ford	http://dbpedia.org/resource/Harrison_Ford
Harry	NIL375
Harry	http://dbpedia.org/resource/Harry_Potter_(character)
Harry Kane	http://dbpedia.org/resource/Harry_Kane_(footballer)
Harry P	http://dbpedia.org/resource/Harry_Potter_(film_series)
Harry Potter	http://dbpedia.org/resource/Harry_Potter
Harry Potter	http://dbpedia.org/resource/Harry_Potter_(film_series)
Harry Potter and the Deathly Hallows	http://dbpedia.org/resource/Harry_Potter_and_the_Deathly_Hallows
Harry Potter and the Deathly Hallows Part II	http://dbpedia.org/resource/Harry_Potter_and_the_Deathly_Hallows_–_Part_2
Harry Potter and the Deathly Hallows part 2	http://dbpedia.org/resource/Harry_Potter_and_the_Deathly_Hallows_–_Part_2
HarryPotter	http://dbpedia.org/resource/Harry_Potter
HarryPotter and the Deathly Hallows part 2	http://dbpedia.org/resource/Harry_Potter_and_the_Deathly_Hallows_–_Part_2
Harry_Styles	http://dbpedia.org/resource/Harry_Styles
Hartley	http://dbpedia.org/resource/Garrett_Hartley
Harwich	http://dbpedia.org/resource/Harwich,_Massachusetts
Harwich	http://dbpedia.org/resource/Harwich_Mariners
Haryana	http://dbpedia.org/resource/Haryana
HashXCash	NIL127
Haus of Delyth	NIL42
Hawks	http://dbpedia.org/resource/Atlanta_Hawks
Hawthorne	http://dbpedia.org/resource/Hawthorne_(TV_series)
HayleyAcres	NIL377
Health Shuler	http://dbpedia.org/resource/Heath_Shuler
HeartCapricorn	NIL285
Heaton Park	http://dbpedia.org/resource/Heaton_Park
Heb	http://dbpedia.org/resource/Epistle_to_the_Hebrews
Heechul	http://dbpedia.org/resource/Kim_Heechul
Helen	NIL128
Helen	NIL379
Helen	http://dbpedia.org/resource/Helen_Wyman
HelenStockwell	NIL380
HelpEmptyTanks	NIL907
Helsinki	http://dbpedia.org/resource/Helsinki
Hemelhempstead	http://dbpedia.org/resource/Hemel_Hempstead
Henderson	http://dbpedia.org/resource/Jordan_Henderson
Henry	NIL382
Henry	http://dbpedia.org/resource/Henry_Winter
Henry George	http://dbpedia.org/resource/Henry_George
Henry II	http://dbpedia.org/resource/Henry_II_of_England
Henry winter	http://dbpedia.org/resource/Henry_Winter
Heralding	NIL18
Herat	http://dbpedia.org/resource/Herat
Hercules	NIL286
Hermione	http://dbpedia.org/resource/Hermione_Granger
Hertford	http://dbpedia.org/resource/Hertford
Herts Police	http://dbpedia.org/resource/Hertfordshire_Constabulary
HeyGeno	NIL383
High Street	http://dbpedia.org/resource/High_Street
HighburyJD	NIL385
Highland games	http://dbpedia.org/resource/Highland_games
Hillsborough	http://dbpedia.org/resource/Hillsborough_Stadium
Hillside/Shelbourne	http://dbpedia.org/resource/Hillside_Shopping_Centre
Hilton Hotel	http://dbpedia.org/resource/Hilton_Hotels_&_Resorts
Hindi	http://dbpedia.org/resource/Hindi
Hindu	http://dbpedia.org/resource/Hindu
Hindus	http://dbpedia.org/resource/Hindu
Hinton	http://dbpedia.org/resource/Les_Hinton
Hip-Hop	http://dbpedia.org/resource/Hip_hop
Hipsters	http://dbpedia.org/resource/Hipster_(contemporary_subculture)
Hiroshima	http://dbpedia.org/resource/Hiroshima
Hispanics	http://dbpedia.org/resource/Hispanic
Hitler	http://dbpedia.org/resource/Adolf_Hitler
Ho Chi Minh	http://dbpedia.org/resource/Ho_Chi_Minh_City
Hoarders	http://dbpedia.org/resource/Hoarders
Hobby Craft	NIL24
Hobby Craft	http://dbpedia.org/resource/Hobbycraft
Hockey Hall of Fame	http://dbpedia.org/resource/Hockey_Hall_of_Fame
HockneyFilm	NIL909
Hogwarts	http://dbpedia.org/resource/Hogwarts
Holland	http://dbpedia.org/resource/Holland,_Michigan
Holland	http://dbpedia.org/resource/Netherlands_national_football_team
HolleratMichael	NIL387
Holliday	http://dbpedia.org/resource/Bug_Holliday
HollyCopem4n	NIL389
Hollywood	http://dbpedia.org/resource/Hollywood
Hollywood Bowl	NIL43
